"logFC"	"AveExpr"	"t"	"P.Value"	"adj.P.Val"	"B"	"Gene_name"	"Gene_id"
"ENSG00000118298.12"	-2.71209280308688	2.37954961988036	-14.8991602244401	5.08089276495229e-38	1.51286269098677e-34	75.3773870020812	"CA14"	"ENSG00000118298.12"
"ENSG00000103485.19"	-2.08778580115615	4.07428310678284	-14.8727526601629	6.38069460559584e-38	1.51286269098677e-34	75.4067009004487	"QPRT"	"ENSG00000103485.19"
"ENSG00000087258.16"	-2.18646698573568	4.80188172379729	-14.1709331360328	2.65185649037118e-35	4.19170115911338e-32	69.4921107766148	"GNAO1"	"ENSG00000087258.16"
"ENSG00000095713.14"	-2.90548036379274	2.39303131942324	-14.0236556346863	9.33613188034093e-35	1.10679843441442e-31	68.0557430413134	"CRTAC1"	"ENSG00000095713.14"
"ENSG00000049130.16"	-1.58659461646041	6.09648139422418	-13.2113877657405	9.16788822846252e-32	8.69482519587385e-29	61.4177144551878	"KITLG"	"ENSG00000049130.16"
"ENSG00000109819.9"	-2.1215804019624	3.66435018164324	-13.1185240883989	2.00256176679667e-31	1.5826913163583e-28	60.6227023939743	"PPARGC1A"	"ENSG00000109819.9"
"ENSG00000048540.15"	-2.1736808446876	4.28041943081678	-12.8185101159393	2.47402789002727e-30	1.64242795943206e-27	58.1745977186985	"LMO3"	"ENSG00000048540.15"
"ENSG00000095303.17"	-2.30132123208701	5.32465698141224	-12.8049423593116	2.77086117154291e-30	1.64242795943206e-27	58.050447974213	"PTGS1"	"ENSG00000095303.17"
"ENSG00000090776.6"	-1.35691148036484	6.11063548370166	-12.7092236164118	6.15688342227463e-30	2.9244219889924e-27	57.2531994902189	"EFNB1"	"ENSG00000090776.6"
"ENSG00000092051.17"	-2.46909602258787	4.89424992545825	-12.7090253191884	6.1670645065213e-30	2.9244219889924e-27	57.2659261941449	"JPH4"	"ENSG00000092051.17"
"ENSG00000101977.21"	-2.96194204294582	0.198539584923337	-12.6711415166113	8.45483603119945e-30	3.64480295090434e-27	56.3613542314601	"MCF2"	"ENSG00000101977.21"
"ENSG00000109667.12"	-1.69549351122876	3.46337626039044	-12.6032123278149	1.48766269060693e-29	5.87874706571504e-27	56.3295745172584	"SLC2A9"	"ENSG00000109667.12"
"ENSG00000108381.11"	-2.416452233954	2.49067864787774	-12.5714580118991	1.93679819957698e-29	7.06484389414924e-27	56.0091378906467	"ASPA"	"ENSG00000108381.11"
"ENSG00000077264.15"	-2.03989356552053	3.27732842686314	-12.4528228086158	5.18062378474719e-29	1.75475128480508e-26	55.1140634678334	"PAK3"	"ENSG00000077264.15"
"ENSG00000013619.14"	-1.65264629252145	3.69365049569201	-12.3878179656604	8.87124661322281e-29	2.80449676266017e-26	54.5982970708514	"MAMLD1"	"ENSG00000013619.14"
"ENSG00000105971.15"	-1.57508321536823	6.02233332661513	-12.2251493036048	3.39511134020798e-28	1.00622612345414e-25	53.2814543639678	"CAV2"	"ENSG00000105971.15"
"ENSG00000119938.9"	-1.87652037067532	4.94426330382354	-12.0745432608506	1.17019777197075e-27	3.26416343216781e-25	52.08546703024	"PPP1R3C"	"ENSG00000119938.9"
"ENSG00000108852.15"	-1.68432130473563	4.48416057850108	-11.9733597923565	2.67950411265971e-27	7.05900472346242e-25	51.2776106945858	"MPP2"	"ENSG00000108852.15"
"ENSG00000102781.14"	-1.03874078708412	4.95420275975289	-11.7957921272964	1.14005931676607e-26	2.84534804216038e-24	49.8492116378629	"KATNAL1"	"ENSG00000102781.14"
"ENSG00000105707.14"	2.91105161412844	9.1173408325372	11.7823794130165	1.27143855533551e-26	3.01458081470049e-24	49.716781421182	"HPN"	"ENSG00000105707.14"
